id_delegacia,nome_delegacia,id_endereco,telefone,numero_delegacia
1,001 DISTRITO POLICIAL - LIBERDADE,1,1133413840,1
2,002 DISTRITO POLICIAL - BOM RETIRO,2,1132216943,2
3,003 DISTRITO POLICIAL - CAMPOS ELISIOS,3,1132239839,3
4,004 DISTRITO POLICIAL - CONSOLACAO,4,1132564148,4
23,023 DISTRITO POLICIAL - PERDIZES,23,1138646712,23
24,024 DISTRITO POLICIAL - PONTE RASA,24,1125465369,24
5,5° DP - Aclimação,5,3208 0380,5
6,6° DP - Cambuci,6,3208 6109,6
7,7° DP - Lapa,7,3864 7445,7
8,8° DP - Brás/Belém,8,2694 3384,8
9,9° DP - Carandiru,9,2909 9860,9
10,10° DP - Penha,10,2098 6010,10
11,11° DP - Santo Amaro,11,5686 9931,11
12,12° DP - Pari,12,2292 3537,12
13,13° DP - Casa Verde,13,3966 1190,13
14,14° DP - Pinheiros,14,3032 1100,14
15,15° DP - Itaim Bibi,15,3079 8244,15
16,16° DP - V. Clementino,16,5573 0363,16
17,17° DP - Ipiranga,17,2061 2062,17
18,18° DP - Alto da Moóca,18,2273 5751,18
19,19° DP - V. Maria,19,2954 2868,19
20,20° DP - Água Fria,20,2203 8801,20
21,21° DP - V. Matilde,21,2651 9979,21
22,22° DP - São Miguel Paulista,22,2297 0458,22
25,25° DP - Parelheiros,25,5920 8959,25
26,26° DP - Sacomã,26,2946 0156,26
27,27° DP - Campo Belo,27,5543 2727,27
28,28° DP - Freguesia do Ó,28,3976 3223,28
29,29° DP - V. Diva,29,2213 8231,29
30,30° DP - Tatuapé,30,2295 0103,30
31,31° DP - V. Carrão,31,2094 3033,31
32,32° DP - Itaquera,32,2205 6015,32
33,33° DP - Pirituba,33,3904 2345,33
34,34° DP - V. Sônia,34,3742 0176,34
35,35° DP - Jabaquara,35,5012 0763,35
36,36° DP - V. Mariana,36,3884 4229,36
37,37° DP - Campo Limpo,37,5841 5744,37
38,38° DP - V. Amália,38,2232 2181,38
39,39° DP - V. Gustavo,39,2989 6328,39
40,40° DP - V. Santa Maria,40,3936 4929,40
41,41° DP - V. Rica,41,2724 6200,41
42,42° DP - Pq. São Lucas,42,2211 4392,42
43,43° DP - Cidade Ademar,43,5562 5889,43
44,44° DP - Guaianases,44,2557 9208,44
45,45° DP - V. Brasilândia,45,3921 3653,45
46,46° DP - Perus,46,3917 0727,46
47,47° DP - Capão Redondo,47,5821 2805,47
48,48° DP - Cidade Dutra,48,5666 0723,48
49,49° DP - São Mateus,49,2919 0410,49
50,50° DP - Itaim Paulista,50,2963 2633,50
51,51° DP - Rio Pequeno/Butantã,51,3727 1211,51
52,52° DP - Pq. São Jorge,52,2092 6460,52
53,53° DP - Pq. do Carmo,53,2748 4900,53
54,54° DP - Cidade Tiradentes,54,2282 0832,54
55,55° DP - Pq. São Rafael,55,2919 8627,55
56,56° DP - V. Alpina,56,2341 1637,56
57,57° DP - Pq. da Moóca,57,2965 6519,57
58,58° DP - V. Formosa,58,2673 2169,58
59,59° DP - Jd. Noêmia,59,2581 3929,59
62,62° DP - Ermelino Matarazzo,62,2546 4961,62
63,63° DP - V. Jacuí,63,2051 9463,63
64,64° DP - Cidade A E Carvalho,64,2280 3444,64
65,65° DP - Artur Alvim,65,2741 3891,65
66,66° DP - Vale do Aricanduva,66,2742 2126,66
67,67° DP - Jd. Robru,67,2035 1772,67
68,68° DP - Lajeado,68,2557 7966,68
69,69° DP - Teotônio Vilela,69,2704 5085,69
70,70° DP - Sapopemba,70,2702 0454,70
72,72° DP - V. Penteado,72,3851 4488,72
73,73° DP - Jaçanã,73,2241 6974,73
74,74° DP - Jaraguá,74,3971 4824,74
75,75° DP - Jd. Arpoador,75,3782 0879,75
77,77° DP - Santa Cecília,77,3221 5860,77
78,78° DP - Jardins,78,3082 0160,78
80,80° DP - V. Joaniza,80,5621 7339,80
81,81° DP - Belém,81,2693 9496,81
83,83° DP - Pq. Bristol,83,2331 9581,83
85,85° DP - Jd. Mirna,85,5526 9955,85
87,87° DP - V. Pereira Barreto,87,3974 8174,87
89,89° DP - Portal do Morumbi,89,3743 8431,89
90,90° DP - Pq. Novo Mundo,90,2201 2957,90
91,91° DP - Ceagesp,91,3831 4916,91
92,92° DP - Pq. Santo Antônio,92,5511 5665,92
93,93° DP - V. Lageado,93,3768 3717,93
95,95° DP - Heliópolis,95,2215 8534,95
96,96° DP - Cidade Monções,96,5505 1607,96
97,97° DP - Americanópolis,97,5588 4841,97
98,98° DP - Jd. Miriam,98,5621 7319,98
99,99° DP - Campo Grande,99,5521 6653,99
100,100° DP - Jd. Herculano,100,5831 2380,100
101,101° DP - Jd. Imbuias,101,5928 5952,101
102,102° DP - Socorro,102,5548 0135,102
103,103° DP - Itaquera/Cohab II,103,2521 6549,103
